Start_Station,Summary
Yerba Buena Center of the Arts (3rd @ Howard),235280
Washington at Kearny,130824
University and Emerson,17150
Townsend at 7th,726050
Temporary Transbay Terminal (Howard at Beale),721105
Steuart at Market,1013282
Stanford in Redwood City,10700
St James Park,9022
Spear at Folsom,250537
South Van Ness at Market,356268
SJSU - San Salvador at 9th,7696
SJSU 4th at San Carlos,4356
Sequoia Hospital,315
Santa Clara County Civic Center,33600
Santa Clara at Almaden,5788
San Salvador at 1st,4320
San Pedro Square,7290
San Mateo County Center,1978
San Jose Diridon Caltrain Station,8070
San Jose Civic Center,1629
San Jose City Hall,5180
San Francisco City Hall,127310
San Francisco Caltrain (Townsend at 4th),1651370
San Francisco Caltrain 2 (330 Townsend),1542702
San Antonio Shopping Center,17329
San Antonio Caltrain Station,17719
S. Market St at Park Ave,7476
Ryland Park,73836
Rengstorff Avenue / California Street,1386
Redwood City Public Library,1416
Redwood City Medical Center,130
Redwood City Caltrain Station,15290
Powell Street BART,266214
Powell at Post (Union Square),318648
Post at Kearny,204356
Paseo de San Antonio,5831
Park at Olive,10488
Palo Alto Caltrain Station,39780
Mountain View City Hall,34857
Mountain View Caltrain Station,70420
MLK Library,6930
Middlefield Light Rail Station,1980
Mezes Park,581
Mezes,9877
Mechanics Plaza (Market at Battery),420975
Market at Sansome,844690
Market at 10th,665779
Market at 4th,557612
Kaiser Hospital,3822
Japantown,8505
Howard at 2nd,477729
Harry Bridges Plaza (Ferry Building),806400
Grant Avenue at Columbus Avenue,491655
Golden Gate at Polk,195231
Franklin at Maple,42
Evelyn Park and Ride,2130
Embarcadero at Vallejo,226080
Embarcadero at Sansome,805440
Embarcadero at Folsom,398820
Embarcadero at Bryant,416556
Davis at Jackson,220080
Cyril Magnin St at Ellis St,6279
Cowper at University,29156
Commercial at Montgomery,223605
Clay at Battery,178637
Civic Center BART (7th at Market),363096
Charleston Park/ North Bayshore Area,11319
Castro Street and El Camino Real,32448
California Ave Caltrain Station,14112
Broadway St at Battery St,466990
Beale at Market,412888
Arena Green / SAP Center,7658
Adobe on Almaden,3945
5th St at Folsom St,15570
5th St at E. San Salvador St,88
5th S at E. San Salvador St,1672
5th at Howard,309852
2nd at Townsend,860039
2nd at South Park,494208
2nd at Folsom,462768
